iter	Passed	Remaining
0	2	2885
1	3	1930
2	4	1629
3	5	1448
4	6	1336
5	7	1255
6	8	1216
7	9	1197
8	10	1176
9	11	1151
10	12	1126
11	14	1181
12	15	1161
13	16	1137
14	17	1117
15	17	1102
16	18	1085
17	19	1073
18	20	1062
19	21	1058
20	22	1055
21	23	1042
22	24	1031
23	25	1024
24	26	1015
25	29	1092
26	30	1087
27	31	1079
28	32	1071
29	32	1064
30	35	1110
31	36	1104
32	37	1099
33	38	1092
34	39	1086
35	40	1077
36	41	1074
37	42	1067
38	44	1091
39	45	1084
40	46	1077
41	47	1072
42	47	1066
43	48	1060
44	49	1059
45	50	1056
46	51	1051
47	52	1046
48	53	1042
49	54	1038
50	55	1036
51	56	1032
52	58	1049
53	59	1050
54	61	1048
55	61	1043
56	62	1038
57	63	1033
58	64	1032
59	65	1029
60	66	1023
61	67	1017
62	68	1012
63	68	1005
64	69	1001
65	70	999
66	72	1016
67	74	1014
68	75	1012
69	75	1008
70	76	1004
71	77	1001
72	78	1000
73	79	999
74	80	997
75	81	994
76	82	991
77	83	988
78	84	984
79	85	980
80	87	992
81	88	989
82	88	982
83	89	979
84	90	978
85	91	975
86	92	972
87	93	969
88	94	966
89	95	964
90	96	961
91	97	959
92	98	957
93	99	955
94	99	952
95	101	956
96	102	956
97	103	956
98	105	956
99	106	954
100	107	952
101	108	950
102	108	948
103	109	947
104	111	949
105	112	946
106	113	944
107	114	947
108	116	953
109	117	952
110	118	952
111	120	951
112	120	949
113	121	946
114	122	944
115	123	942
116	124	938
117	125	936
118	126	933
119	126	930
120	127	928
121	128	926
122	129	924
123	130	922
124	131	919
125	132	917
126	133	914
127	133	912
128	134	910
129	135	907
130	136	904
131	137	902
132	138	899
133	138	897
134	139	895
135	140	892
136	141	889
137	142	889
138	143	890
139	144	889
140	145	887
141	146	883
142	147	881
143	148	879
144	148	877
145	149	875
146	150	874
147	151	871
148	152	870
149	153	869
150	154	866
151	155	865
152	155	862
153	157	866
154	158	865
155	159	864
156	160	862
157	161	860
158	162	859
159	163	857
160	164	855
161	165	853
162	166	852
163	166	850
164	167	849
165	169	851
166	170	850
167	171	850
168	173	850
169	174	850
170	175	848
171	176	848
172	177	846
173	178	845
174	178	843
175	179	841
176	180	840
177	181	838
178	182	836
179	183	835
180	184	833
181	185	832
182	187	835
183	188	834
184	189	833
185	189	831
186	190	829
187	191	827
188	192	826
189	193	824
190	194	823
191	195	822
192	197	825
193	198	824
194	199	822
195	200	824
196	202	824
197	203	823
198	204	821
199	204	819
200	205	817
201	206	815
202	207	814
203	208	812
204	209	812
205	210	810
206	211	809
207	212	807
208	212	805
209	213	804
210	216	809
211	217	808
212	218	807
213	219	805
214	220	803
215	220	802
216	221	800
217	222	799
218	223	797
219	224	796
220	226	798
221	227	796
222	228	796
223	230	797
224	231	797
225	232	796
226	233	795
227	234	793
228	235	792
229	236	790
230	237	789
231	238	788
232	239	786
233	239	785
234	240	784
235	241	782
236	242	781
237	245	785
238	246	783
239	247	782
240	247	780
241	248	779
242	249	777
243	250	776
244	251	774
245	253	776
246	254	774
247	254	773
248	255	771
249	256	770
250	257	768
251	259	771
252	260	770
253	261	769
254	263	768
255	264	769
256	265	768
257	266	767
258	267	765
259	268	764
260	269	763
261	270	761
262	272	762
263	274	764
264	275	764
265	276	763
266	277	761
267	278	761
268	279	760
269	280	758
270	282	758
271	283	758
272	284	756
273	285	755
274	285	753
275	286	752
276	288	753
277	289	752
278	290	751
279	291	750
280	292	749
281	294	749
282	295	748
283	297	749
284	299	750
285	305	761
286	306	761
287	307	761
288	308	760
289	310	761
290	311	759
291	313	758
292	314	759
293	315	757
294	317	759
295	319	758
296	321	761
297	322	760
298	323	759
299	324	757
300	325	756
301	326	755
302	327	754
303	328	752
304	329	751
305	332	753
306	333	752
307	334	751
308	335	751
309	337	750
310	338	749
311	339	748
312	340	747
313	342	747
314	345	750
315	346	750
316	348	750
317	349	750
318	350	749
319	351	747
320	352	746
321	353	745
322	354	743
323	355	742
324	361	751
325	364	753
326	365	751
327	366	750
328	367	749
329	369	749
330	371	750
331	372	749
332	374	749
333	376	751
334	377	750
335	378	748
336	380	748
337	381	747
338	382	745
339	383	744
340	384	743
341	385	741
342	386	740
343	387	738
344	388	738
345	390	738
346	391	736
347	392	735
348	393	734
349	394	733
350	395	731
351	396	730
352	397	729
353	398	727
354	399	725
355	400	724
356	401	722
357	402	721
358	404	721
359	405	720
360	406	718
361	407	717
362	408	716
363	409	716
364	410	714
365	411	713
366	412	711
367	413	710
368	414	708
369	415	707
370	416	705
371	418	706
372	419	704
373	419	702
374	420	701
375	421	699
376	422	698
377	423	696
378	424	695
379	425	693
380	426	692
381	426	690
382	427	689
383	428	687
384	429	686
385	430	684
386	432	684
387	433	683
388	434	681
389	435	680
390	435	678
391	436	677
392	437	675
393	438	674
394	439	672
395	440	671
396	441	669
397	441	668
398	442	666
399	443	665
400	444	663
401	447	665
402	448	663
403	449	663
404	450	661
405	451	659
406	452	658
407	453	657
408	454	656
409	454	654
410	455	653
411	456	651
412	457	650
413	458	648
414	459	647
415	459	645
416	461	644
417	462	643
418	463	642
419	463	640
420	464	639
421	465	637
422	466	636
423	467	634
424	468	633
425	468	631
426	469	630
427	470	628
428	471	627
429	472	626
430	474	626
431	475	625
432	476	624
433	477	622
434	478	621
435	479	619
436	480	618
437	480	617
438	481	615
439	482	614
440	483	612
441	484	611
442	485	610
443	485	608
444	486	607
445	487	605
446	488	604
447	489	603
448	490	602
449	491	600
450	492	599
451	493	598
452	494	596
453	495	595
454	496	594
455	496	592
456	497	591
457	498	590
458	499	588
459	500	587
460	501	586
461	502	584
462	503	583
463	504	582
464	505	581
465	505	579
466	506	578
467	507	576
468	508	575
469	509	574
470	510	572
471	510	571
472	511	570
473	512	568
474	513	567
475	514	566
476	515	564
477	516	563
478	517	562
479	518	561
480	519	560
481	520	559
482	521	557
483	522	557
484	523	555
485	524	554
486	525	553
487	525	551
488	526	550
489	527	549
490	528	547
491	529	546
492	530	545
493	531	544
494	533	543
495	534	543
496	535	542
497	536	541
498	538	540
499	539	539
500	539	537
501	541	536
502	542	536
503	543	535
504	544	533
505	545	533
506	547	532
507	548	530
508	549	529
509	549	528
510	550	526
511	551	525
512	552	524
513	553	522
514	553	521
515	554	520
516	555	518
517	556	518
518	557	517
519	558	515
520	559	514
521	560	513
522	561	512
523	562	510
524	563	509
525	564	508
526	565	507
527	566	506
528	567	505
529	568	503
530	569	502
531	569	501
532	570	500
533	571	498
534	572	497
535	573	496
536	575	496
537	576	495
538	577	494
539	578	492
540	579	491
541	580	490
542	581	489
543	582	488
544	583	487
545	584	485
546	585	484
547	586	483
548	587	482
549	587	481
550	589	480
551	590	479
552	591	478
553	592	477
554	593	475
555	594	474
556	595	473
557	596	472
558	597	471
559	598	470
560	599	468
561	599	467
562	600	466
563	601	465
564	602	463
565	603	462
566	604	461
567	605	460
568	606	459
569	607	458
570	608	456
571	609	455
572	610	454
573	610	453
574	611	452
575	612	451
576	613	449
577	614	448
578	615	447
579	616	446
580	617	445
581	618	444
582	619	443
583	620	442
584	621	441
585	622	439
586	623	438
587	624	437
588	625	436
589	626	435
590	628	434
591	628	433
592	629	432
593	631	431
594	632	430
595	633	429
596	634	428
597	635	426
598	635	425
599	636	424
600	637	423
601	638	422
602	639	420
603	640	419
604	641	418
605	642	417
606	643	416
607	644	415
608	645	414
609	646	413
